ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,13,11,10,1.24,1.7,2.49
4,13,11,10,0.65,1.16,2.08
105,13,11,10,1.26,0.76,1.78
25,13,11,10,1.09,0.89,1.49
30,13,11,10,1.55,1.15,1.36
88,13,11,10,0.65,1.32,2.25
67,13,11,10,1.34,1.31,1.76
7,6,7,8,1.09,0.91,1.43
113,6,7,8,,,
42,6,7,8,,,
44,6,7,8,1.03,0.73,0.55
5,6,7,8,,,
?,6,7,8,,,
24,6,7,8,0.81,1.16,1.76
99,6,7,8,,,
13,6,7,8,0.89,0.77,1.32
16,6,7,8,3.85,4.37,4.48
112,6,7,8,3.52,4.18,4.27
54,6,7,8,,,
38,6,7,8,,,
33,6,7,8,,,
117,6,7,8,,,
26,6,7,8,,,
55,6,7,8,1.02,0.74,1.31
32,6,7,8,,,
59,6,7,8,,,
57,6,7,8,0.83,-0.3,0.64
104,6,7,8,,,
87,6,7,8,0.78,0.78,1.39
72,6,7,8,,,
82,6,7,8,,,
71,6,7,8,1.54,2.15,2.76
51,6,7,8,,,
80,6,7,8,0.69,1.24,1.36
63,6,7,8,,,
50,6,7,8,,,
26,6,7,8,,,
55,6,7,8,,,
37,6,7,8,,,
127,6,7,8,1.93,2.33,2.3
134,6,7,8,,,
79,6,7,8,,,
17,6,7,8,,,
36,6,7,8,,,
44,6,7,8,,,
65,6,7,8,3.5,4.15,4.25
6,6,7,8,0.99,1.55,1.39
92,6,7,8,1.57,2.15,2.23
96,6,7,8,1.46,1.97,2.04
12,6,7,8,1.85,2.27,2.23
125,6,7,8,0.81,1.32,1.45
68,6,7,8,2.75,3.22,3.24
86,6,7,8,,,
126,6,7,8,,,
77,6,7,8,0.33,0.98,1.28
76,6,7,8,,,
69,6,7,8,1.98,2.49,2.49
74,6,7,8,1.59,2.12,2.19
22,17,16,15,,,
114,17,16,15,,,
90,17,16,15,0.98,1.12,3.05
19,17,16,15,1.97,1.12,2.26
106,17,16,15,1.88,1.54,1.86
49,17,16,15,,,
128,17,16,15,1.56,0.67,2.71
47,17,16,15,0.63,1.51,3.21
39,17,16,15,,,
120,17,16,15,,,
60,17,16,15,2.53,2.19,1.22
130,17,16,15,,,
123,17,16,15,0.67,1.5,3.13
124,17,16,15,1.5,0.62,3.07
81,17,16,15,,,
6,17,16,15,,,
11,17,16,15,,,
48,17,16,15,,,
62,17,16,15,,,
11,17,16,15,2.55,1.89,1.66
97,17,16,15,2.42,1.78,1.59
37,17,16,15,2.43,1.83,1.54
108,17,16,15,2.44,2.06,1.28
35,17,16,15,,,
91,17,16,15,2.93,2.08,1.5
121,17,16,15,2.34,1.39,2.01
46,17,16,15,2.56,1.65,1.83
51,17,16,15,,,
42,17,16,15,,,
131,17,16,15,,,
75,17,16,15,2.85,1.89,1.65
47,17,16,15,,,
40,17,16,15,2.64,1.85,1.61
118,17,16,15,,,
1,29,27,28,2.19,2.14,0.84
41,29,27,28,,,
17,29,27,28,1.85,2.33,1.12
29,29,27,28,,,
14,29,27,28,,,
119,29,27,28,1.98,2.01,0.59
45,29,27,28,,,
20,29,27,28,1.95,2.11,0.66
34,29,27,28,,,
64,29,27,28,,,
56,29,27,28,,,
78,29,27,28,,,
2,29,27,28,,,
14,29,27,28,,,
43,29,27,28,,,
58,29,27,28,,,
5,29,27,28,2.34,2.54,0.67
111,29,27,28,1.89,1.69,0.69
89,29,27,28,2.67,2.78,0.84
63,29,27,28,,,
102,29,27,28,1.79,1.97,0.88
116,29,27,28,2,2.18,0.6
122,29,27,28,2.17,2.14,0.47
135,29,27,28,1.89,1.73,0.7
